alphabetic_country_rank,name,url,capital,languages,largest_religion,area_total,population,gdp_nominal_total,gdp_nominal_per_capita,currency,time_zone,observes_dst,calling_code,flag_path,anthem_path,duck_pop_rank,continent,alcohol_consumption,alcohol_consumption_ranked,Total_borders_km,Num_borders,Neighbors,flag_colours
167,Switzerland,https://en.wikipedia.org/wiki/Switzerland,Bern ( de facto ),"German (62%), French (23%), Italian (8%), Romansh (0.5%)",54.7% Christianity 30% Catholicism 18.7% Protestantism 6% other Christian 36.8% no religion 6% Islam 1.5% other religions 0.9% unanswered,"41,291 km²",9.1 million,,,(CHF),UTC +1,1,+41,countries/Switzerland_flag.png,countries/Switzerland_anthem.ogg,,Europe,11.27,15.0,"1,852",5.0,Austria (2): 164 km (102 mi); France: 573 km (356 mi); Italy (2): 740 km (460 mi); Liechtenstein: 41 km (25 mi); Germany (2): 334 km (208 mi),"Red, White"
168,Syria,https://en.wikipedia.org/wiki/Syria,Damascus,Kurdish,94.17% Islam  79.19% Sunni 14.1% Shia 10–13% Alawites 3.84% Christianity 1.99% other,"185,180 km²",26 million,,,SYP/LS,UTC +3,0,+963,countries/Syria_flag.png,countries/Syria_anthem.ogg,57.0,Asia,0.21,143.0,"2,253",5.0,Iraq: 605 km (376 mi); Israel: 76 km (47 mi); Jordan: 375 km (233 mi); Lebanon: 375 km (233 mi); Turkey (2): 822 km (511 mi),"Red, Black, Green, White"
169,São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,São Tomé,Portuguese,81.1% Christianity 13.2% no religion 3.1% folk religions 2.4% others,964 km²,"200,000",,,(STN),UTC ±0,0,+239,countries/São_Tomé_and_Príncipe_flag.png,countries/São_Tomé_and_Príncipe_anthem.ogg,,,0.0,185.0,0,0.0,,
170,Tajikistan,https://en.wikipedia.org/wiki/Tajikistan,Dushanbe,Tajik Russian,97.5% Islam 0.7% Christianity 1.7% irreligion 0.2% others,"143,100 km²",10.8 million,,,(TJS),UTC +5,0,+992,countries/Tajikistan_flag.png,countries/Tajikistan_anthem.ogg,,Asia,1.78,93.0,"3,651",4.0,"Afghanistan: 1,206 km (749 mi); People's Republic of China: 414 km (257 mi); Kyrgyzstan (3): 870 km (540 mi); Uzbekistan (2): 1,161 km (721 mi)","Golden, Green, Red, White"
171,Tanzania,https://en.wikipedia.org/wiki/Tanzania,Dodoma,Swahili,63.1% Christianity 34.1% Islam 1.5% no religion 1.2% traditional faiths 0.1% others,"947,303 km²",67.5 million,,,(TZS),UTC +3,0,+255,countries/Tanzania_flag.png,countries/Tanzania_anthem.oga,33.0,Africa,0.6,126.0,"3,861",8.0,Burundi: 451 km (280 mi); Democratic Republic of the Congo: 459 km (285 mi); Kenya: 769 km (478 mi); Malawi: 475 km (295 mi); Mozambique: 756 km (470 mi); Rwanda: 217 km (135 mi); Uganda: 396 km (246 mi); Zambia: 338 km (210 mi),"Green, Black, Blue, Yellow"
172,Thailand,https://en.wikipedia.org/wiki/Thailand,Bangkok,Thai,93.46% Buddhism 5.37% Islam 1.13% Christianity 0.03% other,"513,120 km²",66 million,,,฿ (THB),UTC +7,0,+66,countries/Thailand_flag.png,countries/Thailand_anthem.ogg,8.0,Asia,8.64,33.0,"4,863",4.0,"Cambodia: 803 km (499 mi); Laos: 1,754 km (1,090 mi); Malaysia: 506 km (314 mi); Myanmar: 2,416 km (1,501 mi)","Red, Blue, White"
173,The Bahamas,https://en.wikipedia.org/wiki/The_Bahamas,Nassau,English,93.0% Christianity 75.1% Protestantism 17.9% other Christian 4.5% no religion 1.9% folk religions 0.6% other,"13,943 km²","400,000",,,(BSD),UTC -5,1,+1,countries/The_Bahamas_flag.png,countries/The_Bahamas_anthem.oga,,,,,,,,
174,The Gambia,https://en.wikipedia.org/wiki/The_Gambia,,List: Mandinka Pulaar Wolof Serer Jola English Balanta Arabic Jola-Fonyi Mandjak Mankanya Noon Dyula Soninke Fula Karon Kassonke Cangin Gambian Sign Language,95.7% Islam 4.2% Christianity 0.1% others,"11,300 km²",2.4 million,,,(GMD),UTC ±0,0,+220,countries/The_Gambia_flag.png,countries/The_Gambia_anthem.ogg,,,,,,,,
175,Timor-Leste,https://en.wikipedia.org/wiki/Timor-Leste,Dili,Portuguese Tetum,99.53% Christianity 97.57% Catholicism 1.96% Protestantism 0.24% Islam 0.23% other,"14,950 km²",1.4 million,,,(USD),UTC +9,0,+670,countries/Timor-Leste_flag.png,countries/Timor-Leste_anthem.ogg,,Asia,0.0,150.0,,,,
176,Togo,https://en.wikipedia.org/wiki/Togo,Lomé,French,50% Christianity 33% traditional faiths 16% Islam 1% Baháʼí faith,"56,785 km²",9.6 million,,,(XOF),UTC ±0,0,+228,countries/Togo_flag.png,countries/Togo_anthem.mp3,,Africa,1.01,113.0,"1,647",3.0,Benin: 644 km (400 mi); Burkina Faso: 126 km (78 mi); Ghana: 877 km (545 mi),"Green, Red, White, Yellow"
177,Tonga,https://en.wikipedia.org/wiki/Tonga,Nukuʻalofa,Tongan English,96.9% Christianity —64.1% Protestantism —18.6% Mormonism —14.2% Catholicism 0.5% no religion 0.1% unspecified 2.4% others,748 km²,"100,000",,,(TOP),UTC +13,0,+676,countries/Tonga_flag.png,countries/Tonga_anthem.ogg,,Oceania,0.0,152.0,0,0.0,,"Red, White"
178,Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,Port of Spain,English,55.2% Christianity 18.2% Hinduism 5.0% Islam 8.3% Other 13.3% Irreligion /Not stated,"5,131 km²",1.5 million,,,(TTD),UTC -4,0,+1,countries/Trinidad_and_Tobago_flag.png,countries/Trinidad_and_Tobago_anthem.ogg,,North America,3.69,75.0,0,0.0,,
179,Tunisia,https://en.wikipedia.org/wiki/Tunisia,Tunis,Arabic,99% Sunni Islam  1% others,"163,610 km²",12 million,,,(TND),UTC +1,0,+216,countries/Tunisia_flag.png,countries/Tunisia_anthem.ogg,,Africa,0.89,117.0,"1,469",2.0,"Algeria: 1,010 km (630 mi); Libya: 459 km (285 mi)","Red, White"
180,Turkey,https://en.wikipedia.org/wiki/Turkey,Ankara,Turkish,Islam,"783,562 km²",86.1 million,,,₺ (TRY),UTC +3,0,+90,countries/Turkey_flag.png,countries/Turkey_anthem.oga,39.0,Asia,1.35,104.0,"2,648",8.0,Armenia: 268 km (167 mi); Azerbaijan: 9 km (5.6 mi); Bulgaria: 240 km (150 mi); Georgia: 252 km (157 mi); Greece: 206 km (128 mi); Iran: 499 km (310 mi); Iraq: 352 km (219 mi); Syria (2): 822 km (511 mi),"Red, White"
181,Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan,Ashgabat,Turkmen,95.8% Islam 3.0% no religion 1.1% Christianity 0.1% other,"491,210 km²",7.1 million,,,(TMT),UTC +5,0,+993,countries/Turkmenistan_flag.png,countries/Turkmenistan_anthem.mp3,,Asia,1.17,108.0,"3,736",4.0,"Afghanistan: 744 km (462 mi); Iran: 992 km (616 mi); Kazakhstan: 379 km (235 mi); Uzbekistan: 1,621 km (1,007 mi)","Green, White"
182,Tuvalu,https://en.wikipedia.org/wiki/Tuvalu,Funafuti,Tuvaluan English,96% Christianity 86% Calvinism ( official ) 10% other Christian 3% Other religions or not stated 1% Baháʼí Faith,26.26 km²,"11,000",,,(AUD),UTC +12,0,+688,countries/Tuvalu_flag.png,countries/Tuvalu_anthem.ogg,,Oceania,0.0,151.0,0,0.0,,"Dark Blue, Gold, Red, Sky Blue, White"
183,Uganda,https://en.wikipedia.org/wiki/Uganda,Kampala,English Swahili,81.7% Christianity 42% Roman Catholic 29% Protestant 13.2% Islam 3.3% unclassified 1.6% others 0.2% no religion,"241,038 km²",45.9 million,,,(UGX),UTC +3,0,+256,countries/Uganda_flag.png,countries/Uganda_anthem.mp3,,Africa,0.46,131.0,"2,698",5.0,Democratic Republic of the Congo: 765 km (475 mi); Kenya: 933 km (580 mi); Rwanda: 169 km (105 mi); South Sudan: 435 km (270 mi); Tanzania: 396 km (246 mi),"Blue, Red, White, Yellow"
184,Ukraine,https://en.wikipedia.org/wiki/Ukraine,Kyiv,Ukrainian,87.3% Christianity 11.0% no religion 0.8% other,"603,628 km²",32.9 million,,,₴ (UAH),UTC +2,1,+380,countries/Ukraine_flag.png,countries/Ukraine_anthem.mp3,11.0,Europe,2.31,86.0,"4,663",7.0,"Belarus: 891 km (554 mi); Hungary: 103 km (64 mi); Moldova: 939 km (583 mi); Poland: 526 km (327 mi); Romania (2): 531 km (330 mi); Russia: 1,576 km (979 mi); Slovakia: 91 km (57 mi)","Blue, Gold"
185,United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates,Abu Dhabi City Ajman City Dubai City Fujairah City Ras Al Khaimah City Sharjah City Umm Al Quwain City,Arabic,74.5% Islam ( official ) 63.3% Sunni Islam 6.7% Shia Islam 4.4% other 12.9% Christianity 6.2% Hinduism 3.2% Buddhism 1.3% Agnosticism 1.9% other,"83,600 km²",11 million,,,(AED),UTC +4,0,+971,countries/United_Arab_Emirates_flag.png,countries/United_Arab_Emirates_anthem.ogg,,Asia,3.06,78.0,867,2.0,Oman (4): 410 km (250 mi); Saudi Arabia: 457 km (284 mi),"Red, Black, Green, White"
186,United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,London,English,46.5% Christianity 37.8% no religion 6.0% Islam 1.6% Hinduism 0.8% Sikhism 0.4% Buddhism 0.4% Judaism 0.6% other 5.9% not stated,"244,376 km²",69.3 million,,,£ (GBP),UTC ±0,1,+44,countries/United_Kingdom_flag.png,countries/United_Kingdom_anthem.oga,,Europe,0.0,159.0,652.2,3.0,Cyprus (6): 152 km (94 mi); Ireland: 499 km (310 mi); Spain: 1.2 km (0.75 mi),"Red, Blue, White"
187,United States,https://en.wikipedia.org/wiki/United_States,"Washington, D.C.",English,65% Christianity 32% Protestantism 20% Catholicism 12% other Christian 1% Mormonism 24% unaffiliated 2% Judaism 6% other religion 3% unanswered,"9,833,520 km²",341.8 million,,,$ (USD),"UTC -4 to -12 , +10 , +11",1,+1,countries/United_States_flag.png,countries/United_States_anthem.mp3,,North America,8.9,29.0,"12,034",2.0,"Canada (4): 8,893 km (5,526 mi); Mexico: 3,141 km (1,952 mi)","Red, Blue, White"
188,Uruguay,https://en.wikipedia.org/wiki/Uruguay,Montevideo,Spanish  Uruguayan Sign Language,Christianity Roman Catholicism Mennonitism Methodism Mormonism Waldensians Baháʼí Buddhism Hinduism Islam Judaism Irreligion,"176,215 km²",3.5 million,,,(UYU),UTC -3,0,+598,countries/Uruguay_flag.png,countries/Uruguay_anthem.ogg,,South America,8.17,38.0,"1,564",2.0,Argentina: 579 km (360 mi); Brazil: 985 km (612 mi),"Blue, White"
189,Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan,Tashkent,Uzbek,94.78% Islam 3.89% Irreligion 1.04% Christianity 0.27% other religions,"448,978 km²",38.2 million,,,(UZS),UTC +5,0,+998,countries/Uzbekistan_flag.png,countries/Uzbekistan_anthem.ogg,,Asia,1.55,101.0,"6,221",5.0,"Afghanistan: 137 km (85 mi); Kazakhstan: 2,203 km (1,369 mi); Kyrgyzstan (6): 1,099 km (683 mi); Tajikistan (2): 1,161 km (721 mi); Turkmenistan: 1,621 km (1,007 mi)","Blue, Green, Red, White"
190,Vanuatu,https://en.wikipedia.org/wiki/Vanuatu,Port Vila,Bislama English French,93.4% Christianity 75.1% Protestantism 13.5% Catholicism 4.8% other Christian 4.6% Animism 1.4% Baháʼí Faith 0.6% other / none,"12,189 km²","300,000",,,(VUV),UTC +11,0,+678,countries/Vanuatu_flag.png,countries/Vanuatu_anthem.ogg,,Oceania,0.96,115.0,0,0.0,,"Red, Black, Green, Yellow"
191,Vatican City,https://en.wikipedia.org/wiki/Vatican_City,Vatican City ( city-state ),Italian ( de facto ) Latin ( de jure at Holy See ),Catholic Church,0.49 km²,882,,,€ (EUR),UTC +1,1,+379,countries/Vatican_City_flag.png,countries/Vatican_City_anthem.ogg,,Europe,,,3.2,1.0,Italy: 3.2 km (2.0 mi),
192,Venezuela,https://en.wikipedia.org/wiki/Venezuela,Caracas,Spanish,"92.6% Christianity 80.5% Catholicism 11.2% Protestantism 0.9% other Christian 5.5% no religion 1.1% Spiritism , Birongo 0.8% other","916,445 km²",31.8 million,,,(VED) (official),UTC -4,0,+58,countries/Venezuela_flag.png,countries/Venezuela_anthem.ogg,,South America,9.41,28.0,"4,993",3.0,"Brazil: 2,200 km (1,400 mi); Colombia: 2,050 km (1,270 mi); Guyana: 743 km (462 mi)","Yellow, Blue, Red"
193,Vietnam,https://en.wikipedia.org/wiki/Vietnam,Hanoi,Vietnamese,86.32% no religion / folk 6.1% Catholicism 4.79% Buddhism 1.02% Hoahaoism 1% Protestantism 0.58% Caodaism 0.07% Islam 0.12% other,"331,344.82 km²",102.3 million,,,₫ (VND),UTC +7,0,+84,countries/Vietnam_flag.png,countries/Vietnam_anthem.ogg,2.0,Asia,1.21,106.0,"4,639",3.0,"Cambodia: 1,228 km (763 mi); People's Republic of China: 1,281 km (796 mi); Laos: 2,130 km (1,320 mi)","Red, Yellow"
194,Yemen,https://en.wikipedia.org/wiki/Yemen,Sanaa,Arabic,~99.1% Islam ( official ) 65% Sunni 35% Zaydi ~0.9% other,"455,503 km²",32.7 million,,,(YER),UTC +3,0,+967,countries/Yemen_flag.png,countries/Yemen_anthem.ogg,,Asia,0.15,147.0,"1,746",2.0,"Oman: 288 km (179 mi); Saudi Arabia: 1,458 km (906 mi)","Red, Black, White"
195,Zambia,https://en.wikipedia.org/wiki/Zambia,Lusaka,English,95.5% Christianity ( official ) 2.7% Islam 1.8% other / none,"752,617 km²",20.2 million,,,(ZMW),UTC +2,0,+260,countries/Zambia_flag.png,countries/Zambia_anthem.mp3,,Africa,0.63,124.0,"5,667",8.0,"Angola: 1,110 km (690 mi); Botswana: 0.15 km (0.093 mi); Democratic Republic of the Congo: 1,930 km (1,200 mi); Malawi: 837 km (520 mi); Mozambique: 419 km (260 mi); Namibia: 233 km (145 mi); Tanzania: 338 km (210 mi); Zimbabwe: 797 km (495 mi)","Green, Black, Orange, Red"
196,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,Harare,Kunda Tswa Lozi,84.1% Christianity 69.2% Protestantism 14.9% other Christian 10.2% no religion 4.5% traditional faiths 1.2% others,"390,757 km²",17.2 million,,,(ZWG) (USD) (ZAR),UTC +2,0,+263,countries/Zimbabwe_flag.png,countries/Zimbabwe_anthem.ogg,52.0,Africa,2.78,79.0,"3,066",4.0,"Botswana: 813 km (505 mi); Mozambique: 1,231 km (765 mi); South Africa: 225 km (140 mi); Zambia: 797 km (495 mi)","Green, Black, Red, White, Yellow"
